Street,Town,Zip Code,State,Move-in Date,# Bedrooms,# Bathrooms,Home Type,Rent,AC,Washer/Dryer,Dish Washer,Bath,Parking Spot,Washer/Dryer in Building,Elevator,Handicap Access,Pool/Hot Tub,Fitness Center,Storage Unit
14 Hull St,Boston,02113,MA,2/11/2018,2,4,Apartment,2437,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
16 Margaret St,Boston,02113,MA,2/12/2018,2,1,Apartment,4853,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes
101 Prince St,Boston,02113,MA,2/18/2018,4,3,Apartment,3199,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
190 Commercial St,Boston,02110,MA,2/21/2018,3,5,Apartment,238,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
50 Tileston St,Boston,02113,MA,2/22/2018,5,2,Apartment,2585,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
20 hanover Ave,Boston,02109,MA,2/24/2018,4,5,Apartment,1986,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
150 Webster St,Boston,02128,MA,2/25/2018,2,2,Apartment,3225,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
6A Chelsea St,Boston,02128,MA,2/26/2018,3,2,Apartment,1714,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No
193 Sumner St,Boston,02128,MA,1/2/2018,1,2,Apartment,2126,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
92 Maverick St,Boston,02128,MA,1/5/2018,4,5,Apartment,2499,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
52 Liverpool St,Boston,02128,MA,1/6/2018,5,2,Apartment,1241,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
96 Fenway ,Boston,02115,MA,1/8/2018,3,5,Apartment,2232,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
108 Hemenway St,Boston,02115,MA,1/9/2018,2,5,Apartment,857,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
216 Hemenway St,Boston,02115,MA,1/11/2018,5,3,Apartment,1315,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No
115 Steven St,Boston,02115,MA,1/13/2018,2,4,Apartment,2858,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
12 Greenwich Park,Boston,02118,MA,1/15/2018,1,1,Apartment,4792,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes
52 Westland Ave,Boston,02115,MA,1/17/2018,2,3,Apartment,2090,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
120 Jersey St,Boston,02215,MA,1/18/2018,5,1,Apartment,331,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
12 Symphony Rd,Boston,02115,MA,1/20/2018,2,4,Apartment,367,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
50 Peterborough St,Boston,02215,MA,1/21/2018,5,4,Apartment,4691,No,No,No,No,No,No,No,Yes,No,No,Yes
281 Walnut St,Brookline,02445,MA,1/22/2018,2,4,Apartment,3857,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
55 Linden St,Brookline,02445,MA,1/24/2018,2,5,Apartment,2534,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
77 Brighton Rd,Brookline,02445,MA,1/25/2018,3,4,Apartment,873,No,No,No,No,No,No,No,Yes,No,No,Yes
50 Clark,Brookline,02445,MA,1/27/2018,3,5,Apartment,2762,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
33 Fairmount St,Brookline,02445,MA,1/29/2018,1,4,Apartment,3337,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
43 Winchester St,Brookline,02446,MA,2/2/2018,1,4,Apartment,3721,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes
32 Hatherly Rd,Brighton,02135,MA,2/9/2018,3,5,Apartment,1397,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes
69 Langley Rd,Brighton,02135,MA,2/16/2018,3,1,Apartment,4948,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No
27 South Crescent Circuit,Brighton,02135,MA,2/17/2018,1,2,Apartment,2011,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
15 Glenmont Rd,Brighton,02135,MA,2/18/2018,4,2,Apartment,4315,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
49 Nonantun St,Brighton,02135,MA,2/20/2018,1,5,Apartment,3450,No,No,No,No,No,No,No,No,Yes,No,Yes
78 Surrey St,Brighton,02135,MA,2/23/2018,4,1,Apartment,732,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
14 Charlesview St,Brighton,02135,MA,2/26/2018,1,2,Apartment,4033,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
15 Gerrish St,Brighton,02135,MA,1/2/2018,1,5,Apartment,3780,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes
11 Riverview Rd,Brighton,02135,MA,1/4/2018,4,4,Apartment,4578,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
1580 Mass Ave,Cambridge,02138,MA,1/6/2018,4,1,Apartment,2914,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No
80 Buckingham St,Cambridge,02138,MA,1/9/2018,2,5,Apartment,328,No,No,No,No,No,No,No,Yes,No,No,No
21 Clinton St,Cambridge,02139,MA,1/10/2018,2,3,Apartment,132,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
343 Broadway,Cambridge,02139,MA,1/11/2018,5,1,Apartment,4389,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No
89 Washington Ave,Cambridge,02140,MA,1/12/2018,1,2,Apartment,1231,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
16 Prescott St,Cambridge,02138,MA,1/13/2018,3,5,Apartment,909,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
23 Francis Ave,Cambridge,02138,MA,1/16/2018,4,2,Apartment,2049,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
23 Irving St,Cambridge,02138,MA,1/17/2018,4,3,Apartment,2541,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
27 Garfield St,Cambridge,02138,MA,1/21/2018,1,4,Apartment,2327,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
49 Trowbridge,Cambridge,02138,MA,1/22/2018,1,5,Apartment,2923,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
8 Speridakis Terrace,Cambridge,02139,MA,1/23/2018,2,3,Apartment,1074,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
53 Henry St,Cambridge,02139,MA,1/27/2018,2,3,Apartment,1210,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
24 Essex St,Cambridge,02139,MA,1/29/2018,2,2,Apartment,3575,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
65 Binney St,Cambridge,02142,MA,1/30/2018,5,2,Apartment,1909,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
109 School St,Somerville,02143,MA,2/2/2018,4,1,Apartment,1426,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
39 Berkley St,Somerville,02143,MA,2/6/2018,5,4,Apartment,4526,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
123 Walnut St,Somerville,02145,MA,2/9/2018,3,1,Apartment,3240,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
39 Central St,Somerville,02143,MA,2/17/2018,1,5,Apartment,3792,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
115 Belmont St,Somerville,02143,MA,2/19/2018,3,3,Apartment,4897,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
69 Albion St,Somerville,02143,MA,2/22/2018,5,3,Apartment,2484,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No
12 Dunbarton Rd,Belmont,02478,MA,2/23/2018,1,3,Apartment,4492,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
43 Thomas St,Belmont,02478,MA,2/24/2018,1,3,Apartment,88,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
43 Warwick Rd,Belmont,02478,MA,3/1/2018,2,1,Apartment,3352,No,Yes,Yes,No,No,No,No,Yes,No,No,No
161 Waverley,Belmont,02478,MA,1/7/2018,2,4,Apartment,1833,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No
24 Louise Rd,Belmont,02478,MA,1/9/2018,2,3,Apartment,770,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes
8 Walnut St,Belmont,02478,MA,1/11/2018,1,4,Apartment,3841,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
69 Walnut St,Watertown,02472,MA,1/12/2018,4,3,Apartment,1332,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
129 Palfrey,Watertown,02472,MA,1/15/2018,3,2,Apartment,1424,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
127 Worcester St,Watertown,02472,MA,1/16/2018,5,2,Apartment,4989,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No
68 Washington St,Medford,02155,MA,1/18/2018,5,5,Apartment,3772,No,No,Yes,No,No,Yes,No,No,No,No,Yes
130 Lawrence Rd,Medford,02155,MA,1/20/2018,1,5,Apartment,1241,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
16 Pilgrim Rd,Medford,02155,MA,1/21/2018,1,4,Apartment,4547,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
192 Marlborough St,Boston,02116,MA,1/29/2018,2,1,Apartment,94,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
377 Beacon St,Boston,02116,MA,1/30/2018,5,3,Apartment,4161,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
87 Botolph St,Boston,02116,MA,2/2/2018,2,1,Apartment,3647,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
128 Bay State Rd,Boston,02215,MA,2/3/2018,3,1,Apartment,724,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No
575 Commonwealth Ave,Boston,02215,MA,2/4/2018,4,3,Apartment,3473,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No
38 Lambert St,Roxbury,02119,MA,2/8/2018,1,2,Apartment,2947,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
37 Abbotsford St,Roxbury,02121,MA,2/9/2018,4,2,Apartment,165,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
158 Hillside St,Roxbury Crossing,02120,MA,2/10/2018,3,5,Apartment,4493,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No
168 Hillside St,Roxbury Crossing,02120,MA,2/15/2018,2,3,Apartment,2694,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Private Alley 925,Boston,02215,MA,2/18/2018,5,4,Apartment,552,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
55 Park Drive,Boston,02215,MA,2/20/2018,4,2,Apartment,1450,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
292 Ruggles St,Boston,02115,MA,2/23/2018,2,3,Apartment,3647,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No
66 Fenway,Boston,02115,MA,2/24/2018,5,3,Apartment,121,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
56 Charlesgate East,Boston,02215,MA,2/25/2018,3,2,Apartment,1924,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No
17 Monument St,Charlestown,02129,MA,2/28/2018,2,1,Apartment,2783,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
8 Cedar St,Charlestown,02129,MA,3/1/2018,3,1,Apartment,4457,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No
5 Trenton,Charlestown,02129,MA,2/27/2018,3,2,Apartment,3849,No,No,No,No,No,No,Yes,No,No,Yes,Yes
