id,name,contact,website,phone1,phone2,fax1,email,address1,address2,city,state,zip,source,broker_notes,update_date,listingAgentId
6742704,"""Copley Real Estate Group""",,,617-266-3690,617-266-3691,617-266-0582,info@copleyre.com,"""229 Berkeley Street #302""",,"""Boston""",MA,02116,"YGL Network",,04/10/2019,
6742705,"""Meridian Realty Group LLC""",,,617-517-0854,617-517-0854,617-517-0849,keith@mrgproperty.com,"""46 Gloucester Street""",,"""Boston""",MA,02115,"YGL Network",,04/10/2019,
6742706,"""RE/MAX Destiny""",,,"(617) 576-3800",,,pturcotte@destinyagents.com,"""907 Massachusetts Ave.""",,"""Cambridge""",MA,02139,"YGL Network",,04/10/2019,
6742707,"""Next Level Realty""",,,7819854489,,,sugandha@nextlevelrealty.com,"""26 Vinson St.""","""Suite 3""","""Worcester""",MA,01605,"YGL Network",,04/12/2019,
6742708,"""1578 Tremont Street Condo Association""",,,6175432461,,,ali@1578tremont.com,"""1578 Tremont Street""",,"""Boston""",MA,02120,"YGL Network",,04/10/2019,
6742709,"""South End Realty Group""",,,"(617) 424-9500",,617-517-9101,info@southendrealty.com,"""476A Columbus Ave.""",,"""Boston""",MA,02118,"YGL Network",,04/10/2019,
6742710,"""Arthur Deych""",,,6178694907,,,Arthur@movewitharthur.com,"""193 Harvard street""",,"""Brookline""",MA,02446,"YGL Network",,04/11/2019,
6742711,"""Strictly Apartment Rentals""",,,(617)834-0841,,,hassanrentalsboston@gmail.com,"""115 saint stephen streey""",,"""Boston""",MA,02115,"YGL Network","""easy show, hardwood floor just installed, completely painted,  pick up the keys at  strictly apartment rentals 115 saint Stephen street boston ma 02115""",04/10/2019,
6742712,"""Club Realty""",,,"(617) 487-8285",,617-716-4425,rent@clubrealtyboston.com,"""211A Harvard Ave.""",,"""Allston""",MA,02134,"YGL Network",,04/10/2019,
6742714,"""Patty Michaels Real Estate""",,http://www.pattymichaels.com,6176426076,,,upnrisingstar@gmail.com,"""15 Verplast Ave""",,"""Winchester""",MA,01890,"YGL Network",,04/12/2019,
6742715,"""Centre Realty Group""",,http://centrerealtygroup.com/,617-699-3038,,617-332-3737,leads@centrerealtygroup.com,"""370 Chestnut Hill Ave""",,"""Brighton""",MA,02135,"YGL Network",,04/12/2019,
6742716,"""Benjamin Bern""",,,7322980752,7322980752,7322980752,bernbenjaminrealty@gmail.com,"""121 Parsons St""","""3rd Floor""","""Brighton""",MA,02135,"YGL Network",,04/10/2019,
6742717,"""Prime Realty""",,,"(617) 233-4485",,,md@primecambridge.com,"""467 Columbus Ave.""",,"""Boston""",MA,02118,"YGL Network",,04/10/2019,
6742718,"""Encore Realty""",,,617-981-6900,,617-981-6901,Info@AllAccessBoston.com,"""123 St Marys Street""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742719,"""36-38 Cunard LLC""",,,,,,,,,,MA,,"YGL Network","""Co-broke, fee paid by tenant split between cooperating agencies. Must use City Residential Boston application and co-signer form (if need be). First Month Rent plus $35/applicant for application fee is required with applications in order to apply. Required payments: last month rent, security deposit & broker fee.""",04/10/2019,
6742720,"""Premier Boston Realty""",,,"(781) 864-8406",,,konstantine@premierbostonrealty.com,"""146 Smith St.""",,"""Boston""",MA,02120,"YGL Network",,04/10/2019,
6742721,"""Newbury Associates, Inc.""",,http://www.newburyassociates.com/,"(617) 595-7650",,,rentals@hadcomanagement.com,"""88 Black Falcon""",,"""Boston""",MA,02210,"YGL Network","""AVAIL. NOW:  Call for details*  Hello All, easy to show! Please call 617-595-7650 to schedule to tour. Currently unoccupied, supervised tours required. LL/Mgmt. Co. has own applications, will run credit and will prepare lease. Landlord may require lease to run for One-Year. Deposits must be in form of Certified Funds only, Ex. Money Orders or Bank Checks. NO personal checks/NO company checks.  NO UNDERGRADS! Thanks for reading!  FYI-- Tenant Pays Fee.  ***PETS NEGOTIABLE, Call 617-595-7650 for details!***""",04/10/2019,
6742723,"""Mission Realty Advisors""",,,6179421609,,,melissa@mraboston.com,"""1613 Tremont St""",,"""Boston""",MA,02120,"YGL Network","""$40 application fee per applicant to Mission Realty Advisors Cosigner forms due within 24hrs of application, we will run credit Leases to be signed within 1 week of approval All leases to be prepared and signed at Mission Realty Advisors.  All funds, even realtor fee, is to be written to Mission Realty Advisors in the form of secured funds to be held in escrow.""",04/10/2019,
6742724,"""Keller Williams Realty Allston""",,,"(617) 684-5151",,,richkim@kw.com,"""231 Harvard Ave.""","""Suite 1""","""Allston""",MA,02134,"YGL Network","""First, Last and Security to be made PAYABLE to Benjamin Kim  Maintenance Contact # (617) 799 2546  For Showings, keys can be picked up at Live Realty Boston.  Make sure to bring your Real estate license and business card. Call Richard @ 6174075390 with deals & email completed applications to RichardKim51@gmail.com.  All checks to be made out to Benjamin Kim and deal folders can be dropped off in the Realty Lords mailbox located at 231 Harvard Ave. #1 Allston, MA.  First, Last & Security for Move In. Maintenance Contact and Landlord Address are 231 Harvard Ave. Suite 1, Allston, MA 02134. ALL leases MUST end on AUGUST 29th Maintenance Contact # is (617) 799-2546""",04/12/2019,
6742725,"""Longwood Properties, Inc.""",,,617-566-3100,,617-566-3700,office@longwoodboston.com,"""3 Darling St.""","""Office""","""Boston""",MA,02120,"YGL Network","""Name: Longwood Properties, Inc. Phone/Email: 617-566-3100, office@longwoodboston.com Address: 3 Darling St., Office, Boston, MA 02120""",04/10/2019,
6742726,"""All Points Properties""",,,617.566.7000,,,AllPointsProperties@gmail.com,"""ChHill Ave""",,"""Boston""",MA,02135,"YGL Network",,04/10/2019,
6742727,"""Boston Trust Realty Group""",,,617-674-2077,617-674-2077,617-687-2683,rob.btrg@gmail.com,"""404 Neponset Ave.""",,"""Boston""",MA,02122,"YGL Network","""Please DO NOT post advertisements of our listings to Postlets, Zillow or Trulia without disclosing our broker name and contact information (as required by MLS rules). Violators of this simple request will lose their access to our listings. Thank you!""",04/11/2019,
6742728,"""Angles Realty""",,,9788520363,978-314-9852,(617)-914-0017,chris@anglesrealty.com,"""25 River Street""",,"""Cambridge""",MA,02139,"YGL Network",,04/12/2019,
6742729,"""Cornerstone""",,,,,,,,,,MA,,"YGL Network","""To take unit off the market; Please email 1 PDF to adam@cornerstoneboston.com. See below for specifics on what a complete package is. Incomplete packages will not be considered.  TO SHOW: 20% Referral to Cornerstone Real Estate. Keys available at 1451 Tremont St. Boston MA 02120 M-F 9am - 5pm. Please pick up keys for all units unless there are specific notes above that say otherwise. There is a 2 hour limit to borrow keys. Weekends and evenings- please try to coordinate with tenants as we do not give keys out overnight for weekend showings. Agents may be in the office to give out keys but no guarantee. The general office number is 617-238-7400. Please bring a valid RE License and business card.    TO TAKE A PROPERTY OFF MARKET: Email a complete application packet to admin@csreboston.com. Please make sure to include ALL paperwork in 1 PDF (Applications, credit reports, cosigners (if needed or a student), cosigner credit, photo IDs, proof of income/ pay stubs, payment schedule and Broker Check for FMR.) with the unit address and your contact info. Applications need to say lease ends 8/30/20. Please make sure we have all client's email addresses clearly on applications so we can email leases. Incomplete packages will not be considered.  YOU MUST USE OUR APPLICATIONS AND COSIGNER FORMS AND MAKE SURE ALL BOXES ARE FILLED IN ON APPS FOR APARTMENT INFO, PAYMENTS, FELONY QUESTION AND PETS.    **Leases MUST be signed within 24 hours of going out to your clients. Please inform your clients of this and to expect an email from Docusign**    FINANCIAL INFO:  We collect first/ last and 1 month security deposit unless otherwise noted in Unit or Building notes. All checks for FMR, Referral / broker fees, LMR, Security made out to Cornerstone Real Estate. Put address on all checks in the memo. No partial payments or tenant personal checks will be accepted- please pay in 1 check/ 1 envelope.   ***THERE IS A 20% REFERRAL FEE (BASED ON 1 MONTH COMMISSION) TO OUR OFFICE FOR ALL LISTINGS. YOU KEEP THE REST *** Broker fee MUST be the 2nd payment collected.""",04/10/2019,
6742730,"""Boston Moves Real Estate""",,,"(617) 600-8407",,,rentals@bostonmovesre.com,"""103 Terrace St.""",,"""Boston""",MA,02120,"YGL Network",,04/10/2019,
6742731,"""IAB Real Estate""",,,"(617) 201-8525",,,stephanie@iabre.com,"""11 Stoneybrook Rd.""",,"""Burlington""",MA,01803,"YGL Network",,04/10/2019,
6742732,"""Revolution Realty""",,,617-982-7175,,,rrteam@revrealtyma.com,,,,MA,,"YGL Network","""We generally require 24-hours notice for showing occupied units.  All rentals are 50/50 co-broke unless specified otherwise.  If co-broke rental, Tenant or Sale Office to pay ½ month rental fee to Revolution Realty. Sale Agent to collect their fee from Tenant. If Tenant is direct, Tenant to pay rental fee equal to one month’s rent to listing agent. Fee disclosure required.   If you have questions on any listing, please contact:  Mike Preston: 617-590-0448 or Mike@revrealtyma.com  Lou Gordon: 857-210-9925 or info@revrealtyma.com""",04/11/2019,
6742734,"""Nissenbaum Real Estate""",,,"(617) 686-0394",,(617)284-9261,jeremy@nissenbaumre.com,"""775 Broadway""",,"""Somerville""",MA,02144,"YGL Network",,04/11/2019,
6742735,"""Boston Environments""",,,"(617) 780-8941","(617) 299-8000","(617) 299-8004",john@bostonenvironments.com,"""75 Arlington St.""","""5th fl.""","""Boston""",MA,02116,"YGL Network",,12/17/2018,
6742736,"""Lokos Realty & Asset Management""",,,"(781) 990-8634",,,julius@lokosrealty.com,"""One Curtis Street""",,"""East Boston""",MA,02128,"YGL Network",,04/10/2019,
6742737,"""Cambridge Portfolios LLC""",,,617-714-4433,,617-714-3715,robert@cambridgeportfolios.com,"""1955 Massachusetts Ave.""","""Ste 7""","""Cambridge""",MA,02139,"YGL Network",,03/20/2019,
6742738,"""Metropolis%20Realty""",,www.metrentals.com,8572470742,8572470742,,metropolisboston@gmail.com,"""62%20Amory%20Street""",,"""Cambridge""",MA,02139,"YGL Network",,04/12/2019,
6742739,"""C. Devon's Homes""",,,6179975513,,617-321-4046,CDevonHomes@gmail.com,"""Avon Road""",,"""Watertown""",MA,02472,"YGL Network",,04/12/2019,
6742740,"""True North Capital Properties, LLC""",,,774-270-1223,,,Todd@TrueNorthCapitalProperties.com,"""369 Lindsay Pond Road""",,"""Concord""",MA,01742,"YGL Network",,04/10/2019,
6742741,"""Live Realty Boston LLC""",,http://liverealtyboston.com,6174878227,6177753074,6176463636,info@liverealtyboston.com,"""215A Harvard Ave.""",,"""Allston""",MA,02134,"YGL Network","""Pick up keys at Live Realty Boston Office: 215A Harvard Ave. Allston Ma, 02134 Move-in cost is negotiable. Move-in date is flexible. Bring apps.""",04/11/2019,
6742742,"""Core Real Estate""",,,6179663482,,,teresatroisi3@verizon.net,"""Yankee Woods Drive""",,"""North Reading""",MA,01864,"YGL Network","""Call/Text Teresa 617 966 3482""",04/12/2019,
6742743,"""Dream Realty""",,,617.388.8351,,,paul@dreamrealtyma.com,"""22A Independance Av""",,"""Quincy""",MA,02169,"YGL Network",,09/11/2018,
6742744,"""JP Rentals and Sales, Inc.""",,http://www.jprentals.com,6175242787,,6176766820,info@jprentals.com,"""480 Centre Street""",,"""Jamaica Plain""",MA,02130,"YGL Network",,04/11/2019,
6742745,"""PadMatch Realty""",,,"(617) 710-8508","(617) 505-5977","(857) 576-6960",Richard@padmatchre.com,"""1038 Beacon St.""","""Suite 1B""","""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742746,"""Justin Idoine""",,http://abundantrealestate.com,617.992.0986,,,Admin@AbundantRealEstate.com,"""150 Cambridgepark Dr.""","""Ste. 703""","""Cambridge,""",MA,02140,"YGL Network","""Good Credit and Income of 3 X the Rent Required for all qualified Applicants! Title: Somerville Single Family Home w/Great Deck and Yard! Very Good Deal!! Unit Description: 2BR++ Office/ Guest Room / 1Ba available on or Before October 1st  Single Family Home - Lots of parking - Awesome Fully Fenced Yard & Large Deck!! Private Driveway! Adorable home on a Dead End Street!  Single Family Home with Washer and Dryer In Unit and Great Deck and Yard!! 1 Space in Sturdy Portable Garage, the Other is Tandem in front of Garage. Super Easy Street parking as this is the last home on the street it's a dead end!!  This is a 3-floor single family house with 2 bedrooms + Office / Guest Room, a B athroom, a Living room, a spacious Dining room and a walk up attic for storage.  The eat-in kitchen is equipped with a Washer/Dryer, dishwasher and garbage disposal.  2 Larger Bedrooms, Office or Guest Room, Master Bed is Renovated and has a Walk-in Closet. The house has a large private backyard with trees, garden, and deck., and Playset for Children!  The entire house is deleaded, has a lead free certificate. The House has Forced Air Heating, Gas Cooking and Heating source.  Walking distance to Union Sq. Sullivan Sq Orange Line; near MIT and Harvard  Tenant pays all utilities: Gas heat  Smoking no allowed on the Premises  One year lease to end August 31, 2019""",03/26/2019,
6742747,"""3A Realty Group""",,,617-249-7141,,,chrisc3a@gmail.com,"""1147 Hancock St.""",,"""Quincy""",MA,02169,"YGL Network","""YOU DO NOT HAVE THE RIGHT TO ADVERTISE THIS PROPERTY. YOU MAY ONLY SHOW IF YOU HAVE CLIENTS. 24hrs notice is required for all showings. All showings are scheduled through email. Please email list agent chrisC3A@gmail.com with requested time/date for the showings. Please provide real estate license number and your broker's office contact info. If co-broke NO fee due to 3A Realty Group from Tenant. You collect your fee from your client.""",04/10/2019,
6742748,"""Jonathan Marsh""",,,"(617) 778-4868",,,jmar@athomeboston.com,,,,MA,,"YGL Network",,04/12/2019,
6742749,"""Chapin Properties""",,https://www.chapinpropertiesteam.com/,617-365-5362,,,chapinproperties@gmail.com,"""1583 Beacon Street""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742751,"""WEICHERT, REALTORS - BLUEPRINT BROKERS LLC""",,http://WWW.BLUEPRINTBROKERS.COM,8572047179,,,fsantaniello@blueprintbrokers.com,"""362 Salem St.""",,"""Medford""",MA,02155,"YGL Network",,04/10/2019,
6742752,"""People's Choice Realty & Management""",,,6172902520,6172902520,6172902520,stephencaff@gmail.com,"""29 Chandler St""",,"""Somerville""",MA,02144,"YGL Network","""Call or text Steve - 617 290 2520""",04/11/2019,
6742753,"""Vibe Residential""",,,6179174267,6176404104,,nike@vibe-re.com,"""745 Atlantic Ave 8th Floor""",,"""Boston""",MA,02111,"YGL Network",,04/12/2019,
6742754,"""Rise Realty, LLC""",,http://www.riseboston.com,6175438944,,,contact@riseboston.com,"""226 Harvard st""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742755,"""Fenway Realty""",,http://www.fenwayrealty.com,617-267-0860,,617-267-0853,Info@fenwayrealty.com,"""272 Huntington Ave""",,"""Boston""",MA,02115,"YGL Network",,04/10/2019,
6742756,"""Hammond Residential""",,,8572252988,,,mfeuerstein@hammondre.com,"""826 Boylston St""",,"""Chestnut Hill""",MA,02467,"YGL Network",,04/12/2019,
6742757,"""Prestige Rental Solutions JP""",,,617-480-0713,,,daniel@prestigerentalsolutions.com,"""75 South Huntington ave #2""",,"""Jamaica Palin""",MA,02130,"YGL Network",,04/10/2019,
6742758,"""Dreamega International Realty""",,,617-661-0406,,,douyingbo@gmail.com,"""300 Washington St""","""Suite 513""","""Newton""",MA,02458,"YGL Network",,04/12/2019,
6742759,"""Lamacchia Realty""",,,6179246563,,,LRAdmin@lamacchiarealty.com,"""465 Waverly Oaks Rd. Suite 216""",,"""Waltham""",MA,02452,"YGL Network",,04/10/2019,
6742760,"""Coldwell Banker Residential Brokerage - South End""",,,617-424-6244,,,Ryan.Michaud@NEMoves.com,"""10 Berkeley Street""",,"""Boston""",MA,02116,"YGL Network","""DO NOT POST ON ZILLOW, or TRULIA, ONLY CRAIGSLIST""",04/10/2019,
6742761,"""Unity Realty""",,,7813152633,,,robunityrealty@gmail.com,"""572 Winthrop Street""",,"""Medford""",MA,02155,"YGL Network",,04/10/2019,
6742762,"""RANJITA SINGH""",,,16178004867,,,RSINGHREALESTATE@GMAIL.COM,"""373 Highland Ave""","""201""","""Somerville""",MA,02145,"YGL Network",,04/10/2019,
6742764,"""Delores Facey/Broker""",,,"617-833-6880 ext 102",617-833-4421,617-833-6883,rentals@URSBoston.com,"""1229 River Street""",,"""Hyde Park""",MA,02136,"YGL Network",,04/11/2019,
6742766,"""Thread Real Estate""",,,781-728-9689,,,timmackin27@gmail.com,"""55 Kings Grant Rd""",,"""Weston""",MA,02493,"YGL Network",,04/10/2019,
6742767,"""William Raveis Real Estate""",,,5087898830,,,eric.rollo@raveis.com,"""18A Arlington Street""",,"""Boston""",MA,02116,"YGL Network",,09/11/2018,
6742769,"""Blue Ocean Realty""",,,857-207-7579,,,rose@blueoceanboston.com,"""10 Bishops Lane""",,"""Lynnfield""",MA,01940,"YGL Network",,01/30/2019,
